Image,png,brisque,nrqm,pi,nima,paq2piq,cnniqa,dbcnn,musiq-ava,musiq-koniq,musiq-spaq,clipiqa,clipiqa+,tre-koniq,topiq_nr,qalign,topiq_iaa,topiq_iaa_res50,laion_aes,antelopev2,arcface,buffalo
5_voice_en_35070978_mkittalk,6.png,30.1305542,4.597752094,7.245081354,3.684912205,72.27210236,0.395711094,0.465000838,3.49111414,49.58399582,66.91104889,0.626759112,0.586433113,61.20552444,0.494281322,0.124328613,3.548715115,3.436920643,4.788022041,0.811966103,0.819262564,0.799506304
5_voice_en_35070978_sad,0.png,15.66131592,5.698515892,5.125208924,5.487122536,77.09331512,0.450408071,0.5218665,4.238844395,69.06713867,70.6882019,0.552975655,0.6157704,76.70191193,0.544422686,0.337646484,4.608518124,4.320002556,5.13120079,0.865706223,0.895374835,0.870311516
5_voice_en_35070978_sad,1.png,12.99676514,5.575987816,5.342762633,5.420846462,77.16144562,0.435265779,0.501049042,4.179403305,67.81263733,71.52271271,0.5134992,0.610863864,73.54985046,0.517854869,0.330322266,4.547595501,4.270708084,5.112128735,0.882149839,0.907401443,0.8985645
5_voice_en_35070978_sad,2.png,31.29705811,5.153774261,5.827155646,5.40629673,77.03809357,0.389250159,0.492944539,4.154013634,66.36341858,72.07596588,0.4883461,0.601548076,73.35868073,0.509113133,0.415283203,4.426628113,4.323673725,4.850727081,0.776797096,0.848477066,0.777548156
5_voice_en_35070978_sad,3.png,13.63641357,5.466617107,5.403041214,5.469655037,77.16085815,0.422745496,0.49493134,4.167405605,66.8000946,70.42256927,0.517119646,0.614214361,74.85838318,0.522947073,0.371582031,4.626107216,4.304950714,4.931742191,0.862238845,0.891333997,0.881069039
5_voice_en_35070978_sad,4.png,15.34637451,5.323844433,5.502485117,5.350862026,75.58255005,0.390876114,0.489254117,4.013263702,65.67633057,69.84053802,0.533118844,0.617092192,76.19580841,0.512130857,0.350097656,4.533993721,4.26335001,4.965745926,0.837119649,0.876355469,0.873271078
5_voice_en_35070978_sad,5.png,16.35076904,5.424423695,5.569476766,5.500119209,77.32323456,0.410091966,0.476635605,4.218708038,66.25445557,69.57725525,0.490811169,0.610725582,72.66429901,0.519819498,0.352539063,4.515501499,4.377173901,4.906756401,0.850550308,0.869820416,0.865496652
5_voice_en_35070978_sad,6.png,15.92889404,5.495570183,5.456063912,5.389327049,76.6386261,0.430915445,0.478197455,4.172821045,67.01221466,69.90087128,0.501374006,0.588974535,72.83877563,0.524071872,0.341796875,4.591010571,4.224751472,5.119792938,0.85164075,0.883502901,0.877519174
5_voice_en_35070978_vidtalk,0.png,36.37615967,3.352048159,5.673309864,4.943111897,57.30710983,0.360709399,0.318554401,3.767648697,54.65950775,65.02003479,0.510041654,0.572825015,28.81383705,0.313343793,0.21496582,4.5379529,4.301268578,5.231919765,0.825189835,0.85164237,0.823373139
5_voice_en_35070978_vidtalk,1.png,29.44403076,3.337422609,5.46696574,5.041688442,58.52166367,0.3574799,0.318492293,3.89426136,54.98399353,65.32471466,0.522884309,0.5662781,31.85668373,0.319054872,0.201782227,4.56547308,4.363526344,5.275675297,0.839568849,0.86200279,0.844482176
5_voice_en_35070978_vidtalk,2.png,28.88690186,3.36012888,5.419298335,5.041440964,58.44383621,0.356727809,0.314056516,3.90140152,53.923069,65.26500702,0.495278656,0.557918429,31.93662453,0.316731125,0.201293945,4.593291759,4.347073078,5.331328869,0.840044027,0.851653457,0.840066927
5_voice_en_35070978_vidtalk,3.png,28.3805542,3.404329538,5.450947168,5.076799393,58.6823349,0.352080971,0.30818814,3.902909279,54.4634552,65.65851593,0.490359277,0.548137605,32.30712509,0.318689018,0.208862305,4.622119904,4.385847092,5.351577759,0.844658776,0.87156266,0.845707742
5_voice_en_35070978_vidtalk,4.png,28.45574951,3.406247377,5.467060347,5.02647686,58.80363464,0.358616322,0.313398957,3.888205051,55.37919998,65.31949615,0.490363449,0.547400951,32.80505371,0.323861748,0.210205078,4.56729126,4.383803368,5.31642437,0.834670085,0.847971678,0.828458814
5_voice_en_35070978_vidtalk,5.png,28.47723389,3.377045155,5.431512582,5.013141632,58.85439301,0.35155353,0.315741479,3.872029305,55.00610352,65.12216949,0.488957167,0.551367283,32.90093613,0.321542621,0.207885742,4.592212677,4.398479462,5.256091118,0.83557619,0.859955251,0.826720797
5_voice_en_35070978_vidtalk,6.png,28.31072998,3.373661757,5.423004664,5.070570469,58.46174622,0.358714014,0.311979234,3.90137434,54.98258972,65.17862701,0.4777641,0.550439835,32.391922,0.32095167,0.208251953,4.593952656,4.378363132,5.351827621,0.848530358,0.853005767,0.852359305
5_voice_en_35070978_wavlip,0.png,32.53631592,5.598264217,4.594433026,4.709899902,61.46038437,0.640155673,0.430044413,4.258146763,48.5537262,65.07645416,0.431565017,0.459228873,41.84560776,0.365151256,0.23059082,4.891677856,4.413427353,4.615198612,0.879015996,0.889590979,0.863381386
5_voice_en_35070978_wavlip,1.png,24.72625732,6.084048748,4.340424016,4.725252628,62.23152924,0.649441779,0.444684595,4.353118896,49.84545135,67.82683563,0.450200617,0.454977483,45.93574142,0.3609474,0.213745117,4.907822609,4.471206188,4.670551777,0.911264365,0.919815361,0.907291929
5_voice_en_35070978_wavlip,2.png,24.99871826,6.099028111,4.334494477,4.712007999,62.56208801,0.651525497,0.446473539,4.358716011,50.60390472,67.70528412,0.432227522,0.449566305,46.40121841,0.362783432,0.220336914,4.916121483,4.435157299,4.678595543,0.888714115,0.902602851,0.893834803
5_voice_en_35070978_wavlip,3.png,24.42352295,6.112467289,4.316128818,4.727396965,62.45623016,0.650668681,0.446924984,4.339376926,50.28732681,67.84373474,0.418577999,0.439131141,46.49140167,0.363733649,0.220214844,4.913385868,4.457978249,4.680975437,0.871425916,0.902716637,0.869988322
5_voice_en_35070978_wavlip,4.png,25.06219482,6.082973003,4.338683032,4.75209713,62.41578674,0.650639951,0.44607538,4.341210365,50.58369446,67.62178802,0.42720136,0.443454951,46.67116547,0.365761131,0.204833984,4.924355507,4.452132225,4.598527908,0.874387015,0.891753554,0.870649961
5_voice_en_35070978_wavlip,5.png,24.29852295,6.117394447,4.324217347,4.720857143,62.3768959,0.648677528,0.448638141,4.350676537,50.06887054,67.69095612,0.427012652,0.440736979,46.36906052,0.361728311,0.211547852,4.818237782,4.458874702,4.569578648,0.903268186,0.904008567,0.894170894
5_voice_en_35070978_wavlip,6.png,24.70379639,6.112248898,4.33180275,4.739758492,62.40509796,0.649128675,0.447696388,4.349993706,50.51777649,67.57355499,0.432097673,0.4456954,46.51389694,0.365350217,0.200317383,4.919394016,4.460997581,4.635646343,0.880439257,0.898913085,0.876667583
5_voice_en_35071004_ahead,0.png,28.51531982,4.937945366,6.885751176,3.991772175,75.17980957,0.543254256,0.555230856,3.871945381,54.04677582,60.51428986,0.570940197,0.605283082,77.72136688,0.549136698,0.197387695,3.677615166,3.838507175,4.421206951,0.766566786,0.797410131,0.730995193
5_voice_en_35071004_ahead,1.png,26.18914795,5.179365635,6.241696174,3.98927021,76.52086639,0.51369983,0.557793736,4.081478119,57.51760483,56.10779953,0.595535874,0.62404567,73.0655365,0.573728144,0.223876953,3.746798992,3.810285568,4.896107197,0.84564512,0.849793911,0.809279618
